correlation,k1,k2,top_X_percent,probability
-0.1,50,3,0.01,0.0004
-0.1,50,3,0.02,0.0085
-0.1,50,3,0.03,0.0341
-0.1,50,3,0.04,0.0826
-0.1,50,3,0.05,0.1443
-0.1,50,3,0.060000000000000005,0.2246
-0.1,50,3,0.06999999999999999,0.3145
-0.1,50,3,0.08,0.4104
-0.1,50,3,0.09,0.5067
-0.1,50,3,0.09999999999999999,0.5928
-0.1,50,3,0.11,0.6783
-0.1,50,3,0.12,0.7441
-0.1,50,3,0.13,0.8034
-0.1,50,3,0.14,0.854
-0.1,50,4,0.01,0.0
-0.1,50,4,0.02,0.0004
-0.1,50,4,0.03,0.0044
-0.1,50,4,0.04,0.0153
-0.1,50,4,0.05,0.0407
-0.1,50,4,0.060000000000000005,0.0816
-0.1,50,4,0.06999999999999999,0.1355
-0.1,50,4,0.08,0.1976
-0.1,50,4,0.09,0.2751
-0.1,50,4,0.09999999999999999,0.3565
-0.1,50,4,0.11,0.4496
-0.1,50,4,0.12,0.5352
-0.1,50,4,0.13,0.6158
-0.1,50,4,0.14,0.6956
-0.1,50,5,0.01,0.0
-0.1,50,5,0.02,0.0
-0.1,50,5,0.03,0.0005
-0.1,50,5,0.04,0.0022
-0.1,50,5,0.05,0.0099
-0.1,50,5,0.060000000000000005,0.0226
-0.1,50,5,0.06999999999999999,0.0453
-0.1,50,5,0.08,0.0781
-0.1,50,5,0.09,0.1255
-0.1,50,5,0.09999999999999999,0.1819
-0.1,50,5,0.11,0.2534
-0.1,50,5,0.12,0.3278
-0.1,50,5,0.13,0.4109
-0.1,50,5,0.14,0.4932
-0.1,50,6,0.01,0.0
-0.1,50,6,0.02,0.0
-0.1,50,6,0.03,0.0002
-0.1,50,6,0.04,0.0004
-0.1,50,6,0.05,0.0017
-0.1,50,6,0.060000000000000005,0.0053
-0.1,50,6,0.06999999999999999,0.0131
-0.1,50,6,0.08,0.0246
-0.1,50,6,0.09,0.0466
-0.1,50,6,0.09999999999999999,0.0815
-0.1,50,6,0.11,0.1232
-0.1,50,6,0.12,0.1779
-0.1,50,6,0.13,0.2414
-0.1,50,6,0.14,0.3153
-0.1,50,7,0.01,0.0
-0.1,50,7,0.02,0.0
-0.1,50,7,0.03,0.0
-0.1,50,7,0.04,0.0001
-0.1,50,7,0.05,0.0002
-0.1,50,7,0.060000000000000005,0.0009
-0.1,50,7,0.06999999999999999,0.003
-0.1,50,7,0.08,0.0071
-0.1,50,7,0.09,0.0147
-0.1,50,7,0.09999999999999999,0.0265
-0.1,50,7,0.11,0.05
-0.1,50,7,0.12,0.0804
-0.1,50,7,0.13,0.1244
-0.1,50,7,0.14,0.1807
-0.1,50,8,0.01,0.0
-0.1,50,8,0.02,0.0
-0.1,50,8,0.03,0.0
-0.1,50,8,0.04,0.0
-0.1,50,8,0.05,0.0001
-0.1,50,8,0.060000000000000005,0.0003
-0.1,50,8,0.06999999999999999,0.0005
-0.1,50,8,0.08,0.0011
-0.1,50,8,0.09,0.0029
-0.1,50,8,0.09999999999999999,0.0075
-0.1,50,8,0.11,0.0174
-0.1,50,8,0.12,0.0312
-0.1,50,8,0.13,0.0527
-0.1,50,8,0.14,0.0862
-0.1,100,3,0.01,0.0083
-0.1,100,3,0.02,0.0703
-0.1,100,3,0.03,0.205
-0.1,100,3,0.04,0.378
-0.1,100,3,0.05,0.5396
-0.1,100,3,0.060000000000000005,0.6865
-0.1,100,3,0.06999999999999999,0.8007
-0.1,100,3,0.08,0.8769
-0.1,100,3,0.09,0.9272
-0.1,100,3,0.09999999999999999,0.9604
-0.1,100,3,0.11,0.9784
-0.1,100,3,0.12,0.9887
-0.1,100,3,0.13,0.9944
-0.1,100,3,0.14,0.9975
-0.1,100,4,0.01,0.0006
-0.1,100,4,0.02,0.0128
-0.1,100,4,0.03,0.066
-0.1,100,4,0.04,0.1726
-0.1,100,4,0.05,0.3064
-0.1,100,4,0.060000000000000005,0.4687
-0.1,100,4,0.06999999999999999,0.6158
-0.1,100,4,0.08,0.7316
-0.1,100,4,0.09,0.8244
-0.1,100,4,0.09999999999999999,0.8881
-0.1,100,4,0.11,0.9371
-0.1,100,4,0.12,0.9646
-0.1,100,4,0.13,0.9801
-0.1,100,4,0.14,0.9901
-0.1,100,5,0.01,0.0
-0.1,100,5,0.02,0.0014
-0.1,100,5,0.03,0.0157
-0.1,100,5,0.04,0.0627
-0.1,100,5,0.05,0.1449
-0.1,100,5,0.060000000000000005,0.2686
-0.1,100,5,0.06999999999999999,0.4114
-0.1,100,5,0.08,0.5476
-0.1,100,5,0.09,0.6756
-0.1,100,5,0.09999999999999999,0.7743
-0.1,100,5,0.11,0.8548
-0.1,100,5,0.12,0.9088
-0.1,100,5,0.13,0.946
-0.1,100,5,0.14,0.9713
-0.1,100,6,0.01,0.0
-0.1,100,6,0.02,0.0
-0.1,100,6,0.03,0.0024
-0.1,100,6,0.04,0.0185
-0.1,100,6,0.05,0.0586
-0.1,100,6,0.060000000000000005,0.1325
-0.1,100,6,0.06999999999999999,0.2393
-0.1,100,6,0.08,0.3625
-0.1,100,6,0.09,0.5054
