correlation,k1,k2,top_X_percent,probability
-0.1,50,3,0.01,0.001
-0.1,50,3,0.02,0.0074
-0.1,50,3,0.03,0.0288
-0.1,50,3,0.04,0.0709
-0.1,50,3,0.05,0.1243
-0.1,50,3,0.060000000000000005,0.2012
-0.1,50,3,0.06999999999999999,0.2891
-0.1,50,3,0.08,0.38
-0.1,50,3,0.09,0.4687
-0.1,50,3,0.09999999999999999,0.5535
-0.1,50,3,0.11,0.6398
-0.1,50,3,0.12,0.7098
-0.1,50,3,0.13,0.7715
-0.1,50,3,0.14,0.8288
-0.1,50,4,0.01,0.0
-0.1,50,4,0.02,0.0005
-0.1,50,4,0.03,0.0045
-0.1,50,4,0.04,0.0156
-0.1,50,4,0.05,0.0337
-0.1,50,4,0.060000000000000005,0.0681
-0.1,50,4,0.06999999999999999,0.1153
-0.1,50,4,0.08,0.175
-0.1,50,4,0.09,0.2462
-0.1,50,4,0.09999999999999999,0.3212
-0.1,50,4,0.11,0.4115
-0.1,50,4,0.12,0.4896
-0.1,50,4,0.13,0.5711
-0.1,50,4,0.14,0.6528
-0.1,50,5,0.01,0.0
-0.1,50,5,0.02,0.0
-0.1,50,5,0.03,0.0004
-0.1,50,5,0.04,0.0021
-0.1,50,5,0.05,0.008
-0.1,50,5,0.060000000000000005,0.0203
-0.1,50,5,0.06999999999999999,0.04
-0.1,50,5,0.08,0.0675
-0.1,50,5,0.09,0.108
-0.1,50,5,0.09999999999999999,0.1562
-0.1,50,5,0.11,0.2189
-0.1,50,5,0.12,0.2894
-0.1,50,5,0.13,0.3723
-0.1,50,5,0.14,0.4529
-0.1,50,6,0.01,0.0
-0.1,50,6,0.02,0.0
-0.1,50,6,0.03,0.0
-0.1,50,6,0.04,0.0002
-0.1,50,6,0.05,0.0013
-0.1,50,6,0.060000000000000005,0.0043
-0.1,50,6,0.06999999999999999,0.0099
-0.1,50,6,0.08,0.0212
-0.1,50,6,0.09,0.041
-0.1,50,6,0.09999999999999999,0.0668
-0.1,50,6,0.11,0.1032
-0.1,50,6,0.12,0.1472
-0.1,50,6,0.13,0.2064
-0.1,50,6,0.14,0.2766
-0.1,50,7,0.01,0.0
-0.1,50,7,0.02,0.0
-0.1,50,7,0.03,0.0
-0.1,50,7,0.04,0.0
-0.1,50,7,0.05,0.0003
-0.1,50,7,0.060000000000000005,0.0008
-0.1,50,7,0.06999999999999999,0.002
-0.1,50,7,0.08,0.0051
-0.1,50,7,0.09,0.013
-0.1,50,7,0.09999999999999999,0.0233
-0.1,50,7,0.11,0.0403
-0.1,50,7,0.12,0.0643
-0.1,50,7,0.13,0.1035
-0.1,50,7,0.14,0.149
-0.1,50,8,0.01,0.0
-0.1,50,8,0.02,0.0
-0.1,50,8,0.03,0.0
-0.1,50,8,0.04,0.0
-0.1,50,8,0.05,0.0
-0.1,50,8,0.060000000000000005,0.0004
-0.1,50,8,0.06999999999999999,0.0004
-0.1,50,8,0.08,0.0012
-0.1,50,8,0.09,0.0035
-0.1,50,8,0.09999999999999999,0.0068
-0.1,50,8,0.11,0.0142
-0.1,50,8,0.12,0.0249
-0.1,50,8,0.13,0.042
-0.1,50,8,0.14,0.0677
-0.1,100,3,0.01,0.0056
-0.1,100,3,0.02,0.0564
-0.1,100,3,0.03,0.1707
-0.1,100,3,0.04,0.3314
-0.1,100,3,0.05,0.4904
-0.1,100,3,0.060000000000000005,0.6478
-0.1,100,3,0.06999999999999999,0.7679
-0.1,100,3,0.08,0.8494
-0.1,100,3,0.09,0.9054
-0.1,100,3,0.09999999999999999,0.9467
-0.1,100,3,0.11,0.9699
-0.1,100,3,0.12,0.9819
-0.1,100,3,0.13,0.9911
-0.1,100,3,0.14,0.9968
-0.1,100,4,0.01,0.0006
-0.1,100,4,0.02,0.0102
-0.1,100,4,0.03,0.0511
-0.1,100,4,0.04,0.1405
-0.1,100,4,0.05,0.2681
-0.1,100,4,0.060000000000000005,0.4174
-0.1,100,4,0.06999999999999999,0.5659
-0.1,100,4,0.08,0.6879
-0.1,100,4,0.09,0.7927
-0.1,100,4,0.09999999999999999,0.8612
-0.1,100,4,0.11,0.9194
-0.1,100,4,0.12,0.9499
-0.1,100,4,0.13,0.9703
-0.1,100,4,0.14,0.9844
-0.1,100,5,0.01,0.0
-0.1,100,5,0.02,0.0016
-0.1,100,5,0.03,0.0134
-0.1,100,5,0.04,0.0493
-0.1,100,5,0.05,0.1203
-0.1,100,5,0.060000000000000005,0.2304
-0.1,100,5,0.06999999999999999,0.3658
-0.1,100,5,0.08,0.5006
-0.1,100,5,0.09,0.6308
-0.1,100,5,0.09999999999999999,0.7314
-0.1,100,5,0.11,0.8213
-0.1,100,5,0.12,0.885
-0.1,100,5,0.13,0.9291
-0.1,100,5,0.14,0.9599
-0.1,100,6,0.01,0.0
-0.1,100,6,0.02,0.0
-0.1,100,6,0.03,0.0026
-0.1,100,6,0.04,0.0155
-0.1,100,6,0.05,0.0452
-0.1,100,6,0.060000000000000005,0.1027
-0.1,100,6,0.06999999999999999,0.2041
-0.1,100,6,0.08,0.3152
-0.1,100,6,0.09,0.4501
-0.1,100,6,0.09999999999999999,0.5771
-0.1,100,6,0.11,0.6879
-0.1,100,6,0.12,0.7811
-0.1,100,6,0.13,0.8556
-0.1,100,6,0.14,0.9102
-0.1,100,7,0.01,0.0
-0.1,100,7,0.02,0.0
-0.1,100,7,0.03,0.0003
-0.1,100,7,0.04,0.0033
-0.1,100,7,0.05,0.0134
-0.1,100,7,0.060000000000000005,0.0436
-0.1,100,7,0.06999999999999999,0.0982
-0.1,100,7,0.08,0.1813
-0.1,100,7,0.09,0.2877
