correlation,k1,k2,top_X_percent,probability
-0.1,100,7,0.08,0.2865
-0.1,100,7,0.09,0.422
-0.1,100,7,0.09999999999999999,0.5497
-0.1,100,7,0.11,0.6669
-0.1,100,7,0.12,0.763
-0.1,100,7,0.13,0.8412
-0.1,100,7,0.14,0.8994
-0.1,100,8,0.01,0.0
-0.1,100,8,0.02,0.0
-0.1,100,8,0.03,0.0001
-0.1,100,8,0.04,0.0029
-0.1,100,8,0.05,0.0116
-0.1,100,8,0.060000000000000005,0.0358
-0.1,100,8,0.06999999999999999,0.0844
-0.1,100,8,0.08,0.1616
-0.1,100,8,0.09,0.2667
-0.1,100,8,0.09999999999999999,0.3877
-0.1,100,8,0.11,0.5147
-0.1,100,8,0.12,0.6256
-0.1,100,8,0.13,0.7331
-0.1,100,8,0.14,0.8173
-0.1,150,3,0.01,0.0424
-0.1,150,3,0.02,0.2582
-0.1,150,3,0.03,0.5205
-0.1,150,3,0.04,0.741
-0.1,150,3,0.05,0.8743
-0.1,150,3,0.060000000000000005,0.9456
-0.1,150,3,0.06999999999999999,0.9794
-0.1,150,3,0.08,0.9921
-0.1,150,3,0.09,0.9968
-0.1,150,3,0.09999999999999999,0.9988
-0.1,150,3,0.11,0.9996
-0.1,150,3,0.12,0.9998
-0.1,150,3,0.13,0.9999
-0.1,150,3,0.14,0.9999
-0.1,150,4,0.01,0.0069
-0.1,150,4,0.02,0.0961
-0.1,150,4,0.03,0.2917
-0.1,150,4,0.04,0.531
-0.1,150,4,0.05,0.7249
-0.1,150,4,0.060000000000000005,0.861
-0.1,150,4,0.06999999999999999,0.9363
-0.1,150,4,0.08,0.9717
-0.1,150,4,0.09,0.9885
-0.1,150,4,0.09999999999999999,0.9957
-0.1,150,4,0.11,0.9983
-0.1,150,4,0.12,0.9993
-0.1,150,4,0.13,0.9995
-0.1,150,4,0.14,0.9999
-0.1,150,5,0.01,0.0011
-0.1,150,5,0.02,0.03
-0.1,150,5,0.03,0.1337
-0.1,150,5,0.04,0.3356
-0.1,150,5,0.05,0.539
-0.1,150,5,0.060000000000000005,0.7284
-0.1,150,5,0.06999999999999999,0.8534
-0.1,150,5,0.08,0.9266
-0.1,150,5,0.09,0.9687
-0.1,150,5,0.09999999999999999,0.9871
-0.1,150,5,0.11,0.9946
-0.1,150,5,0.12,0.9975
-0.1,150,5,0.13,0.9988
-0.1,150,5,0.14,0.9994
-0.1,150,6,0.01,0.0
-0.1,150,6,0.02,0.0071
-0.1,150,6,0.03,0.0531
-0.1,150,6,0.04,0.1814
-0.1,150,6,0.05,0.3579
-0.1,150,6,0.060000000000000005,0.5586
-0.1,150,6,0.06999999999999999,0.731
-0.1,150,6,0.08,0.8443
-0.1,150,6,0.09,0.9226
-0.1,150,6,0.09999999999999999,0.9633
-0.1,150,6,0.11,0.984
-0.1,150,6,0.12,0.9923
