correlation,k1,k2,top_X_percent,probability
-0.1,250,3,0.05,0.995
-0.1,250,3,0.060000000000000005,0.9992
-0.1,250,3,0.06999999999999999,0.9999
-0.1,250,3,0.08,1.0
-0.1,250,3,0.09,1.0
-0.1,250,3,0.09999999999999999,1.0
-0.1,250,4,0.01,0.0621
-0.1,250,4,0.02,0.4363
-0.1,250,4,0.03,0.7767
-0.1,250,4,0.04,0.9328
-0.1,250,4,0.05,0.9845
-0.1,250,4,0.060000000000000005,0.9969
-0.1,250,4,0.06999999999999999,0.9995
-0.1,250,4,0.08,0.9998
-0.1,250,4,0.09,1.0
-0.1,250,4,0.09999999999999999,1.0
-0.1,250,5,0.01,0.0157
-0.1,250,5,0.02,0.2398
-0.1,250,5,0.03,0.605
-0.1,250,5,0.04,0.8566
-0.1,250,5,0.05,0.9559
-0.1,250,5,0.060000000000000005,0.9912
-0.1,250,5,0.06999999999999999,0.9982
-0.1,250,5,0.08,0.9996
-0.1,250,5,0.09,1.0
-0.1,250,5,0.09999999999999999,1.0
-0.1,250,6,0.01,0.0024
-0.1,250,6,0.02,0.1103
-0.1,250,6,0.03,0.4197
-0.1,250,6,0.04,0.735
-0.1,250,6,0.05,0.9006
-0.1,250,6,0.060000000000000005,0.9733
-0.1,250,6,0.06999999999999999,0.9945
-0.1,250,6,0.08,0.9984
-0.1,250,6,0.09,0.9998
-0.1,250,6,0.09999999999999999,1.0
-0.1,350,1,0.01,0.9197
-0.1,350,1,0.02,0.9961
-0.1,350,1,0.03,1.0
-0.1,350,1,0.04,1.0
-0.1,350,1,0.05,1.0
-0.1,350,1,0.060000000000000005,1.0
-0.1,350,1,0.06999999999999999,1.0
-0.1,350,1,0.08,1.0
-0.1,350,1,0.09,1.0
-0.1,350,1,0.09999999999999999,1.0
-0.1,350,2,0.01,0.705
-0.1,350,2,0.02,0.9722
-0.1,350,2,0.03,0.9982
-0.1,350,2,0.04,0.9999
-0.1,350,2,0.05,1.0
-0.1,350,2,0.060000000000000005,1.0
-0.1,350,2,0.06999999999999999,1.0
-0.1,350,2,0.08,1.0
-0.1,350,2,0.09,1.0
-0.1,350,2,0.09999999999999999,1.0
-0.1,350,3,0.01,0.4212
-0.1,350,3,0.02,0.9005
-0.1,350,3,0.03,0.9878
-0.1,350,3,0.04,0.9996
-0.1,350,3,0.05,0.9999
-0.1,350,3,0.060000000000000005,1.0
-0.1,350,3,0.06999999999999999,1.0
-0.1,350,3,0.08,1.0
-0.1,350,3,0.09,1.0
-0.1,350,3,0.09999999999999999,1.0
-0.1,350,4,0.01,0.1979
-0.1,350,4,0.02,0.7604
-0.1,350,4,0.03,0.9602
-0.1,350,4,0.04,0.9966
-0.1,350,4,0.05,0.9996
-0.1,350,4,0.060000000000000005,0.9999
-0.1,350,4,0.06999999999999999,1.0
-0.1,350,4,0.08,1.0
-0.1,350,4,0.09,1.0
-0.1,350,4,0.09999999999999999,1.0
-0.1,350,5,0.01,0.0726
-0.1,350,5,0.02,0.5765
-0.1,350,5,0.03,0.8992
-0.1,350,5,0.04,0.9842
-0.1,350,5,0.05,0.9984
-0.1,350,5,0.060000000000000005,0.9999
-0.1,350,5,0.06999999999999999,1.0
-0.1,350,5,0.08,1.0
-0.1,350,5,0.09,1.0
-0.1,350,5,0.09999999999999999,1.0
-0.1,350,6,0.01,0.0191
-0.1,350,6,0.02,0.3852
-0.1,350,6,0.03,0.8007
-0.1,350,6,0.04,0.9619
-0.1,350,6,0.05,0.9944
-0.1,350,6,0.060000000000000005,0.9999
-0.1,350,6,0.06999999999999999,1.0
-0.1,350,6,0.08,1.0
-0.1,350,6,0.09,1.0
-0.1,350,6,0.09999999999999999,1.0
-0.1,450,1,0.01,0.9725
-0.1,450,1,0.02,0.9996
-0.1,450,1,0.03,1.0
-0.1,450,1,0.04,1.0
-0.1,450,1,0.05,1.0
-0.1,450,1,0.060000000000000005,1.0
-0.1,450,1,0.06999999999999999,1.0
-0.1,450,1,0.08,1.0
-0.1,450,1,0.09,1.0
-0.1,450,1,0.09999999999999999,1.0
-0.1,450,2,0.01,0.8596
-0.1,450,2,0.02,0.9957
-0.1,450,2,0.03,1.0
-0.1,450,2,0.04,1.0
-0.1,450,2,0.05,1.0
-0.1,450,2,0.060000000000000005,1.0
-0.1,450,2,0.06999999999999999,1.0
-0.1,450,2,0.08,1.0
-0.1,450,2,0.09,1.0
-0.1,450,2,0.09999999999999999,1.0
-0.1,450,3,0.01,0.659
-0.1,450,3,0.02,0.9782
-0.1,450,3,0.03,0.999
-0.1,450,3,0.04,1.0
-0.1,450,3,0.05,1.0
-0.1,450,3,0.060000000000000005,1.0
