correlation,k1,k2,top_X_percent,probability
-0.1,50,1,0.01,0.1648
-0.1,50,1,0.02,0.344
-0.1,50,1,0.03,0.4889
-0.1,50,1,0.04,0.6177
-0.1,50,1,0.05,0.7099
-0.1,50,1,0.060000000000000005,0.7899
-0.1,50,1,0.06999999999999999,0.8493
-0.1,50,1,0.08,0.8891
-0.1,50,1,0.09,0.9236
-0.1,50,1,0.09999999999999999,0.9492
-0.1,50,2,0.01,0.0127
-0.1,50,2,0.02,0.0631
-0.1,50,2,0.03,0.1434
-0.1,50,2,0.04,0.2451
-0.1,50,2,0.05,0.3525
-0.1,50,2,0.060000000000000005,0.4628
-0.1,50,2,0.06999999999999999,0.5603
-0.1,50,2,0.08,0.6494
-0.1,50,2,0.09,0.726
-0.1,50,2,0.09999999999999999,0.7863
-0.1,50,3,0.01,0.001
-0.1,50,3,0.02,0.0074
-0.1,50,3,0.03,0.0288
-0.1,50,3,0.04,0.0709
-0.1,50,3,0.05,0.1243
-0.1,50,3,0.060000000000000005,0.2012
-0.1,50,3,0.06999999999999999,0.2891
-0.1,50,3,0.08,0.38
-0.1,50,3,0.09,0.4687
-0.1,50,3,0.09999999999999999,0.5535
-0.1,50,4,0.01,0.0
-0.1,50,4,0.02,0.0005
-0.1,50,4,0.03,0.0045
-0.1,50,4,0.04,0.0156
-0.1,50,4,0.05,0.0337
-0.1,50,4,0.060000000000000005,0.0681
-0.1,50,4,0.06999999999999999,0.1153
-0.1,50,4,0.08,0.175
-0.1,50,4,0.09,0.2462
-0.1,50,4,0.09999999999999999,0.3212
-0.1,50,5,0.01,0.0
-0.1,50,5,0.02,0.0
-0.1,50,5,0.03,0.0004
-0.1,50,5,0.04,0.0021
-0.1,50,5,0.05,0.008
-0.1,50,5,0.060000000000000005,0.0203
-0.1,50,5,0.06999999999999999,0.04
-0.1,50,5,0.08,0.0675
-0.1,50,5,0.09,0.108
-0.1,50,5,0.09999999999999999,0.1562
-0.1,50,6,0.01,0.0
-0.1,50,6,0.02,0.0
-0.1,50,6,0.03,0.0
-0.1,50,6,0.04,0.0002
-0.1,50,6,0.05,0.0013
-0.1,50,6,0.060000000000000005,0.0043
-0.1,50,6,0.06999999999999999,0.0099
-0.1,50,6,0.08,0.0212
-0.1,50,6,0.09,0.041
-0.1,50,6,0.09999999999999999,0.0668
-0.1,150,1,0.01,0.4668
-0.1,150,1,0.02,0.7569
-0.1,150,1,0.03,0.898
-0.1,150,1,0.04,0.9609
-0.1,150,1,0.05,0.9867
-0.1,150,1,0.060000000000000005,0.995
-0.1,150,1,0.06999999999999999,0.9987
-0.1,150,1,0.08,0.9998
-0.1,150,1,0.09,0.9998
-0.1,150,1,0.09999999999999999,1.0
-0.1,150,2,0.01,0.1228
-0.1,150,2,0.02,0.4183
-0.1,150,2,0.03,0.6598
-0.1,150,2,0.04,0.8321
-0.1,150,2,0.05,0.92
-0.1,150,2,0.060000000000000005,0.968
-0.1,150,2,0.06999999999999999,0.9877
-0.1,150,2,0.08,0.9944
-0.1,150,2,0.09,0.9977
