correlation,k1,k2,top_X_percent,probability
-0.1,50,3,0.01,0.0015
-0.1,50,3,0.02,0.018
-0.1,50,3,0.03,0.056
-0.1,50,3,0.04,0.1218
-0.1,50,3,0.05,0.2045
-0.1,50,3,0.060000000000000005,0.3028
-0.1,50,3,0.06999999999999999,0.414
-0.1,50,3,0.08,0.5179
-0.1,50,3,0.09,0.6118
-0.1,50,3,0.09999999999999999,0.694
-0.1,50,3,0.11,0.771
-0.1,50,3,0.12,0.8295
-0.1,50,3,0.13,0.8759
-0.1,50,3,0.14,0.9118
-0.1,50,4,0.01,0.0001
-0.1,50,4,0.02,0.0018
-0.1,50,4,0.03,0.0108
-0.1,50,4,0.04,0.0341
-0.1,50,4,0.05,0.0708
-0.1,50,4,0.060000000000000005,0.1317
-0.1,50,4,0.06999999999999999,0.2062
-0.1,50,4,0.08,0.2902
-0.1,50,4,0.09,0.3832
-0.1,50,4,0.09999999999999999,0.4762
-0.1,50,4,0.11,0.5721
-0.1,50,4,0.12,0.654
-0.1,50,4,0.13,0.7293
-0.1,50,4,0.14,0.793
-0.1,50,5,0.01,0.0001
-0.1,50,5,0.02,0.0002
-0.1,50,5,0.03,0.0012
-0.1,50,5,0.04,0.0074
-0.1,50,5,0.05,0.0212
-0.1,50,5,0.060000000000000005,0.0422
-0.1,50,5,0.06999999999999999,0.0836
-0.1,50,5,0.08,0.1352
-0.1,50,5,0.09,0.2058
-0.1,50,5,0.09999999999999999,0.2824
-0.1,50,5,0.11,0.365
-0.1,50,5,0.12,0.4538
-0.1,50,5,0.13,0.5454
-0.1,50,5,0.14,0.6307
-0.1,50,6,0.01,0.0
-0.1,50,6,0.02,0.0
-0.1,50,6,0.03,0.0002
-0.1,50,6,0.04,0.0018
-0.1,50,6,0.05,0.0047
-0.1,50,6,0.060000000000000005,0.0119
-0.1,50,6,0.06999999999999999,0.0278
-0.1,50,6,0.08,0.0528
-0.1,50,6,0.09,0.093
-0.1,50,6,0.09999999999999999,0.1419
-0.1,50,6,0.11,0.2077
-0.1,50,6,0.12,0.2777
-0.1,50,6,0.13,0.3646
-0.1,50,6,0.14,0.447
-0.1,50,7,0.01,0.0
-0.1,50,7,0.02,0.0
-0.1,50,7,0.03,0.0
-0.1,50,7,0.04,0.0001
-0.1,50,7,0.05,0.0007
-0.1,50,7,0.060000000000000005,0.0034
-0.1,50,7,0.06999999999999999,0.0077
-0.1,50,7,0.08,0.0155
-0.1,50,7,0.09,0.0322
-0.1,50,7,0.09999999999999999,0.0591
-0.1,50,7,0.11,0.0985
-0.1,50,7,0.12,0.1489
-0.1,50,7,0.13,0.2181
-0.1,50,7,0.14,0.2863
-0.1,50,8,0.01,0.0
-0.1,50,8,0.02,0.0
-0.1,50,8,0.03,0.0
-0.1,50,8,0.04,0.0
-0.1,50,8,0.05,0.0
-0.1,50,8,0.060000000000000005,0.0006
-0.1,50,8,0.06999999999999999,0.0017
-0.1,50,8,0.08,0.0049
-0.1,50,8,0.09,0.0106
-0.1,50,8,0.09999999999999999,0.02
-0.1,50,8,0.11,0.0395
-0.1,50,8,0.12,0.0669
-0.1,50,8,0.13,0.107
-0.1,50,8,0.14,0.1598
-0.1,100,3,0.01,0.0159
-0.1,100,3,0.02,0.1132
-0.1,100,3,0.03,0.2881
-0.1,100,3,0.04,0.4897
-0.1,100,3,0.05,0.6588
-0.1,100,3,0.060000000000000005,0.7927
-0.1,100,3,0.06999999999999999,0.8848
-0.1,100,3,0.08,0.9368
-0.1,100,3,0.09,0.9656
-0.1,100,3,0.09999999999999999,0.9822
-0.1,100,3,0.11,0.9914
-0.1,100,3,0.12,0.9962
-0.1,100,3,0.13,0.9982
-0.1,100,3,0.14,0.9995
-0.1,100,4,0.01,0.0022
-0.1,100,4,0.02,0.0284
-0.1,100,4,0.03,0.1118
-0.1,100,4,0.04,0.2639
-0.1,100,4,0.05,0.4271
-0.1,100,4,0.060000000000000005,0.5978
-0.1,100,4,0.06999999999999999,0.7384
-0.1,100,4,0.08,0.8378
-0.1,100,4,0.09,0.9052
-0.1,100,4,0.09999999999999999,0.9501
-0.1,100,4,0.11,0.9737
-0.1,100,4,0.12,0.9863
-0.1,100,4,0.13,0.9939
-0.1,100,4,0.14,0.9972
-0.1,100,5,0.01,0.0002
-0.1,100,5,0.02,0.0061
-0.1,100,5,0.03,0.0382
-0.1,100,5,0.04,0.1218
-0.1,100,5,0.05,0.238
-0.1,100,5,0.060000000000000005,0.3925
-0.1,100,5,0.06999999999999999,0.5565
-0.1,100,5,0.08,0.69
-0.1,100,5,0.09,0.8006
-0.1,100,5,0.09999999999999999,0.8774
-0.1,100,5,0.11,0.9304
-0.1,100,5,0.12,0.9613
-0.1,100,5,0.13,0.9799
-0.1,100,5,0.14,0.99
-0.1,100,6,0.01,0.0
-0.1,100,6,0.02,0.001
-0.1,100,6,0.03,0.0096
-0.1,100,6,0.04,0.0453
-0.1,100,6,0.05,0.1186
-0.1,100,6,0.060000000000000005,0.2285
-0.1,100,6,0.06999999999999999,0.3687
-0.1,100,6,0.08,0.5181
-0.1,100,6,0.09,0.66
-0.1,100,6,0.09999999999999999,0.769
-0.1,100,6,0.11,0.8549
-0.1,100,6,0.12,0.9123
-0.1,100,6,0.13,0.9492
-0.1,100,6,0.14,0.9742
-0.1,100,7,0.01,0.0
-0.1,100,7,0.02,0.0001
-0.1,100,7,0.03,0.0029
-0.1,100,7,0.04,0.0141
-0.1,100,7,0.05,0.0462
-0.1,100,7,0.060000000000000005,0.1146
-0.1,100,7,0.06999999999999999,0.2205
-0.1,100,7,0.08,0.3478
-0.1,100,7,0.09,0.494
-0.1,100,7,0.09999999999999999,0.6253
-0.1,100,7,0.11,0.7403
-0.1,100,7,0.12,0.8287
-0.1,100,7,0.13,0.8947
-0.1,100,7,0.14,0.9391
-0.1,100,8,0.01,0.0
-0.1,100,8,0.02,0.0
-0.1,100,8,0.03,0.0001
-0.1,100,8,0.04,0.0047
-0.1,100,8,0.05,0.0172
-0.1,100,8,0.060000000000000005,0.0521
-0.1,100,8,0.06999999999999999,0.1214
-0.1,100,8,0.08,0.2148
-0.1,100,8,0.09,0.3381
-0.1,100,8,0.09999999999999999,0.4711
-0.1,100,8,0.11,0.5998
-0.1,100,8,0.12,0.7149
-0.1,100,8,0.13,0.8102
-0.1,100,8,0.14,0.8829
-0.1,150,3,0.01,0.0522
-0.1,150,3,0.02,0.299
-0.1,150,3,0.03,0.5735
-0.1,150,3,0.04,0.7909
-0.1,150,3,0.05,0.9072
-0.1,150,3,0.060000000000000005,0.9629
-0.1,150,3,0.06999999999999999,0.9868
-0.1,150,3,0.08,0.9954
-0.1,150,3,0.09,0.9984
-0.1,150,3,0.09999999999999999,0.9996
-0.1,150,3,0.11,0.9998
-0.1,150,3,0.12,1.0
-0.1,150,3,0.13,1.0
-0.1,150,3,0.14,1.0
-0.1,150,4,0.01,0.0096
-0.1,150,4,0.02,0.1159
-0.1,150,4,0.03,0.3382
-0.1,150,4,0.04,0.5932
-0.1,150,4,0.05,0.781
-0.1,150,4,0.060000000000000005,0.896
-0.1,150,4,0.06999999999999999,0.9557
-0.1,150,4,0.08,0.9826
-0.1,150,4,0.09,0.9941
-0.1,150,4,0.09999999999999999,0.998
-0.1,150,4,0.11,0.9995
-0.1,150,4,0.12,0.9998
-0.1,150,4,0.13,1.0
-0.1,150,4,0.14,1.0
-0.1,150,5,0.01,0.0013
-0.1,150,5,0.02,0.0377
-0.1,150,5,0.03,0.1703
-0.1,150,5,0.04,0.3869
-0.1,150,5,0.05,0.6051
-0.1,150,5,0.060000000000000005,0.7834
-0.1,150,5,0.06999999999999999,0.8935
-0.1,150,5,0.08,0.9521
-0.1,150,5,0.09,0.9798
-0.1,150,5,0.09999999999999999,0.9925
-0.1,150,5,0.11,0.9977
-0.1,150,5,0.12,0.9995
-0.1,150,5,0.13,0.9998
-0.1,150,5,0.14,1.0
-0.1,150,6,0.01,0.0003
-0.1,150,6,0.02,0.0088
-0.1,150,6,0.03,0.0726
-0.1,150,6,0.04,0.2237
-0.1,150,6,0.05,0.4226
-0.1,150,6,0.060000000000000005,0.6327
-0.1,150,6,0.06999999999999999,0.79
-0.1,150,6,0.08,0.8926
